entry_time,exit_time,status,pnl,score,type
2021-09-28 14:50:00,2021-09-28 15:25:00,loss,-185.92209033725743,5,short
2021-09-28 15:40:00,2021-09-29 02:35:00,loss,-184.43471361455937,5,short
2021-09-29 09:00:00,2021-09-29 12:20:00,loss,-182.95923590564288,5,long
2021-09-29 12:20:00,2021-09-29 14:00:00,win,680.6083575689916,6,short
2021-09-29 14:00:00,2021-09-29 14:15:00,win,876.2832603700764,7,short
2021-09-29 14:55:00,2021-09-29 15:05:00,loss,-290.9260424428654,6,short
2021-09-29 15:10:00,2021-09-29 17:25:00,win,479.0582165559184,5,short
2021-09-29 17:40:00,2021-09-29 22:50:00,loss,-293.18362853222203,6,short
2021-09-30 09:05:00,2021-09-30 10:20:00,win,724.1635624745885,6,short
2021-09-30 10:20:00,2021-09-30 11:00:00,win,932.3605866860325,7,short
2021-09-30 11:05:00,2021-09-30 11:35:00,loss,-386.9296434747035,7,short
2021-09-30 11:45:00,2021-09-30 12:05:00,loss,-203.26703937204422,5,short
2021-09-30 12:10:00,2021-09-30 12:20:00,loss,-201.64090305706793,5,short
2021-10-07 08:00:00,2021-10-07 08:20:00,loss,-200.02777583261138,5,long
2021-10-07 10:20:00,2021-10-07 12:20:00,loss,-198.42755362595045,5,long
2021-10-07 12:20:00,2021-10-07 12:40:00,win,492.1003329923571,5,short
2021-10-07 13:25:00,2021-10-07 13:40:00,loss,-200.7769358608817,5,short
2021-10-07 14:55:00,2021-10-07 15:15:00,loss,-199.17072037399467,5,short
2021-10-07 18:00:00,2021-10-08 00:05:00,win,493.94338652750673,5,short
2021-10-12 08:15:00,2021-10-12 09:10:00,loss,-201.52890170322277,5,short
2021-10-12 09:40:00,2021-10-12 10:20:00,loss,-199.91667048959698,5,long
2021-10-12 10:30:00,2021-10-12 11:25:00,win,495.7933428142005,5,long
2021-10-12 11:25:00,2021-10-12 11:35:00,loss,-202.28368386819378,5,long
2021-10-12 11:35:00,2021-10-12 11:50:00,loss,-300.9981215958723,6,long
2021-10-12 11:55:00,2021-10-12 12:20:00,loss,-198.25742942448124,5,long
2021-10-12 12:45:00,2021-10-12 12:55:00,loss,-196.6713699890854,5,short
2021-10-12 12:55:00,2021-10-12 13:05:00,loss,-195.0979990291727,5,short
